Case ID,CM,DTA,KP,KPT,NB
1,-1.616,0.153,1.193,-1.011,-0.623
2,-0.532,1.147,1.193,-1.011,1.138
3,1.214,1.147,1.193,-1.011,1.138
4,-0.201,-0.779,-0.493,-0.486,-0.623
559;-1,176;-1,716;-0,949;0,737;-0,623
560;1,214;0,216;0,820;-0,486;-0,235
561;0,666;-0,254;1,193;1,960;1,138
562;0,666;0,041;1,193;-1,184;1,138
563;-1,068;0,565;-0,949;0,737;-0,145
564;-1,616;-0,779;-0,049;-0,486;-0,623
565;-1,176;-1,186;-0,949;0,737;-0,623
566;1,214;1,147;1,193;1,960;1,138
567;-1,935;-0,779;-0,949;-1,709;-0,623
568;1,214;0,735;-0,037;-0,313;1,138
